Asset No	Capitalized On	Asset Description	S/N	Barcode Name
310050-0	30/04/2021	Door Working Table (2)	-	310050-0 / Door Working Table (2)
310051-0	30/04/2021	Door Working Table (3)	-	310051-0 / Door Working Table (3)
310052-0	30/04/2021	Door Working Table (4)	-	310052-0 / Door Working Table (4)
310053-0	30/04/2021	Floor Work Table Greens	GLSG060115PS	310053-0 / Floor Work Table Greens
310054-0	30/04/2021	Floor Work Table Greens (2)	GLSG012115PS	310054-0 / Floor Work Table Greens (2)
310055-0	30/04/2021	Floor Work Table Greens (3)	GLSG023115PS	310055-0 / Floor Work Table Greens (3)
310056-0	30/04/2021	Floor Work Table Greens (4)	GLSG026115PS	310056-0 / Floor Work Table Greens (4)
310057-0	30/04/2021	Shelving Steel Basic Unit 5 Shelv 200KG 	-	310057-0 / Shelving Steel Basic Unit 5 Shelv 200KG 
310058-0	30/04/2021	Tool Drawer 74X38X67CM W/2 TRAY 	-	310058-0 / Tool Drawer 74X38X67CM W/2 TRAY 
310059-0	30/04/2021	Tool Drawer 74X38X67CM W/2 TRAY (2)	-	310059-0 / Tool Drawer 74X38X67CM W/2 TRAY (2)
310060-0	30/04/2021	Cabinet Paint Laboratory	-	310060-0 / Cabinet Paint Laboratory
310061-0	30/04/2021	Bracket Mobile TV Card	-	310061-0 / Bracket Mobile TV Card
310062-0	30/04/2021	Samsung Crystal UHD 4K Smart TV 65" 	-	310062-0 / Samsung Crystal UHD 4K Smart TV 65" 
310063-0	30/06/2021	Receptionist Back Drop+Logo	-	310063-0 / Receptionist Back Drop+Logo
310064-0	30/06/2021	Receptionist Desk	-	310064-0 / Receptionist Desk
310065-0	30/06/2021	Waiting Chair (1)	-	310065-0 / Waiting Chair (1)
310066-0	30/06/2021	Waiting Chair (2)	-	310066-0 / Waiting Chair (2)
310067-0	30/06/2021	Waiting Chair (3)	-	310067-0 / Waiting Chair (3)
310068-0	30/06/2021	Waiting Chair (4)	-	310068-0 / Waiting Chair (4)
310069-0	30/06/2021	Television SAMSUNG Smart TV 55"	-	310069-0 / Television SAMSUNG Smart TV 55"
310070-0	30/06/2021	Medical Trolley	-	310070-0 / Medical Trolley
310071-0	30/06/2021	Examination Bed	TSN 006BSS	310071-0 / Examination Bed
310072-0	30/06/2021	Low File Cabinet (1)	-	310072-0 / Low File Cabinet (1)
310073-0	30/06/2021	Low File Cabinet (2)	-	310073-0 / Low File Cabinet (2)
310074-0	30/06/2021	Doctor Desk	-	310074-0 / Doctor Desk
310075-0	30/06/2021	Sofa (1)	-	310075-0 / Sofa (1)
310076-0	30/06/2021	Sofa (2)	-	310076-0 / Sofa (2)
310077-0	30/06/2021	Coffe Table	-	310077-0 / Coffe Table
310078-0	30/06/2021	Coffe Credenza	-	310078-0 / Coffe Credenza
310079-0	30/06/2021	Treatment Bed (1)	-	310079-0 / Treatment Bed (1)
310080-0	30/06/2021	Treatment Bed (2)	-	310080-0 / Treatment Bed (2)
310081-0	30/06/2021	Treatment Bed (3)	-	310081-0 / Treatment Bed (3)
310082-0	30/06/2021	Treatment Bed (4)	-	310082-0 / Treatment Bed (4)
310083-0	30/06/2021	Bed Screen 3 Panel (1)	-	310083-0 / Bed Screen 3 Panel (1)
310084-0	30/06/2021	Bed Screen 3 Panel (2)	-	310084-0 / Bed Screen 3 Panel (2)
310085-0	30/06/2021	Bed Screen 3 Panel (3)	-	310085-0 / Bed Screen 3 Panel (3)
310086-0	30/06/2021	Metal Open Rack (1)	-	310086-0 / Metal Open Rack (1)
310087-0	30/06/2021	Metal Open Rack (2)	-	310087-0 / Metal Open Rack (2)
310088-0	30/06/2021	Metal Open Rack (3)	-	310088-0 / Metal Open Rack (3)
310089-0	30/06/2021	Metal Open Rack (4)	-	310089-0 / Metal Open Rack (4)
310090-0	30/06/2021	Metal Open Rack (5)	-	310090-0 / Metal Open Rack (5)
310091-0	30/06/2021	Filling Cabinet 	-	310091-0 / Filling Cabinet 
310092-0	30/06/2021	Low File Cabinet (3)	-	310092-0 / Low File Cabinet (3)
310093-0	30/06/2021	Medical Cabinet (1)	-	310093-0 / Medical Cabinet (1)
310094-0	30/06/2021	Medical Cabinet (2)	-	310094-0 / Medical Cabinet (2)
310095-0	30/06/2021	Medical Cabinet (3)	-	310095-0 / Medical Cabinet (3)
310096-0	30/06/2021	AED Heart Guardian HR-501 + Cabinet (1)	D01221020160	310096-0 / AED Heart Guardian HR-501 + Cabinet (1)
310097-0	30/06/2021	AED Heart Guardian HR-501 + Cabinet (2)	D01221020182	310097-0 / AED Heart Guardian HR-501 + Cabinet (2)
310098-0	30/06/2021	AED Heart Guardian HR-501 + Cabinet (3)	D01221020204	310098-0 / AED Heart Guardian HR-501 + Cabinet (3)
310099-0	30/06/2021	AED Heart Guardian HR-501 + Cabinet (4)	D01221020205	310099-0 / AED Heart Guardian HR-501 + Cabinet (4)
310100-0	30/06/2021	AED Heart Guardian HR-501 + Cabinet (5)	D01221020252	310100-0 / AED Heart Guardian HR-501 + Cabinet (5)
310101-0	30/06/2021	Handy Talky Motorola CP1660UHF (1)	1335VP2347	310101-0 / Handy Talky Motorola CP1660UHF (1)
310102-0	30/06/2021	Handy Talky Motorola CP1660UHF (2)	1335VP2352	310102-0 / Handy Talky Motorola CP1660UHF (2)
310103-0	30/06/2021	Handy Talky Motorola CP1660UHF (3)	1335VP2344	310103-0 / Handy Talky Motorola CP1660UHF (3)
310104-0	30/06/2021	Handy Talky Motorola CP1660UHF (4)	1335VP2345	310104-0 / Handy Talky Motorola CP1660UHF (4)
310105-0	30/06/2021	Handy Talky Motorola CP1660UHF (5)	1335VP2366	310105-0 / Handy Talky Motorola CP1660UHF (5)
310106-0	30/06/2021	Handy Talky Motorola CP1660UHF (6)	1335VP3099	310106-0 / Handy Talky Motorola CP1660UHF (6)
310107-0	30/06/2021	Handy Talky Motorola CP1660UHF (7)	1335VP3117	310107-0 / Handy Talky Motorola CP1660UHF (7)
310108-0	30/06/2021	Handy Talky Motorola CP1660UHF (8)	1335VP3113	310108-0 / Handy Talky Motorola CP1660UHF (8)
310109-0	30/06/2021	Handy Talky Motorola CP1660UHF (1)	1335VN1346	310109-0 / Handy Talky Motorola CP1660UHF (1)
